LANG_KEY|LANG_1|LANG_2
Accreditation Status Not Attached!|حالة الاعتماد غير مرفقة|Accreditation Status Not Attached!
Accreditation Status Not Found!|لم يتم العثور على حالة الاعتماد|Accreditation Status Not Found!
Accreditation Status Settings|إعدادات حالات الاعتماد|Accreditation Status Settings
Accreditation Status Successfully Saved|تم حفظ حالة الاعتماد بنجاح|Accreditation Status Successfully Saved
Accreditation To Fill|اعتماد للتعبئة|Accreditation To Fill
Accreditation To Review|اعتماد للمراجعة|Accreditation To Review
Accreditations|اعتمادات|Accreditations
Accredited|اعتمد|Accredited
Accredited Years|سنوات الاعتماد|Accredited Years
Achievement|إنجازات|Achievement
Action|الإجراء|Action
Action has Entered|إجراء تم إدخاله|Action has Entered
Action List|لائحة الإجراءات|Action List
Action Plan|خطة العمل|Action Plan
Action Plan Description|وصف خطة العمل|Action Plan Description
Action Plan List|لائحة خطة العمل|Action Plan List
Action Plan removed successfully|تم حذف خطة العمل بنجاح|Action Plan removed successfully
Action Plan Successfully Saved|تم حفظ خطة العمل بنجاح|Action Plan Successfully Saved
Action plans|خطط العمل|Action Plans
Actions|الإجراءات|Actions
Active|نشط|Active
Active Semester|الفصل الدراسي النشط|Active Semester
Activities|الأنشطة|Activities
Activity|نشاط|Activity
Activity Log|سجل الأنشطة|Activity Log
Activity removed successfully|تم حذف النشاط بنجاح|Activity removed successfully
Activity Successfully Saved|تم حفظ النشاط بنجاح|Activity Successfully Saved
Actual Benchmark|المؤشر الفعلي|Actual Benchmark
Actual Performance|الأداء الفعلي|Actual Performance
Add|إضافة|Add
Add Questions and control the layout and structure of your survey|إضافة الأسئلة والسيطرة على تخطيط وهيكل الاستبيانة الخاص بك|Add Questions and control the layout and structure of your survey
Addition|إضافة|Addition
Additions and Revision|الإضافات والمراجعة|Additions and Revision
Additions and Revisions|الإضافات والمراجعات|Additions and Revisions
Address|العنوان|Address
Administrative Work|عمل إداري|Administrative Work
Administrative Works|الأعمال الإدارية|Administrative Works
Advanced Competency|الكفاءة المتقدمة|Advanced Competency
Advising|نصيحة|Advising
Advisings|النصائح|Advisings
Agencies|الهيئات|Agencies
Agency|الهيئة|Agency
agency already exist|هيئة موجودة مسبقاً|agency already exist
Agency Mapping|ربط الهيئات|Agency Mapping
Agreement Attachment|ارفاق الإتفاقية|Agreement Attachment
Agreement Date|تاريخ الاتفاقية|Agreement Date
AIMS Integration|الارتباط مع AIMS|AIMS Integration
All Campus|جميع الأفرع|All Campus
All Campuses|جميع الأفرع|All Campuses
All College|جميع الكليات|All College
All Colleges|جميع الكليات|All Colleges
All Course|جميع المواد الدراسية|All Course
All Course Sections|جميع شعب المواد الدراسية|All Course Sections
All Courses|جميع المواد الدراسية|All Courses
All Courses Form Generated Successfully|تم تحميل جميع النماذج الخاصة بالمواد الدراسية بنجاح|All Courses Form Generated Successfully
All Deanship|جميع العمادات|All Deanship
All Degrees|جميع الدرجات|All Degrees
All Department|جميع الأقسام|All Department
All field is Required|جميع الحقول المطلوبة|All field is Required
All Languages|جميع اللغات|All Languages
All Program|جميع البرامج|All Program
All Programs|جميع البرامج|All Programs
All Role|جميع المسميات الوظيفية|All Role
All Section|جميع الشعب|All Section
All Semesters|جميع الفصول الدراسية|All Semesters
All Types|جميع الأنواع|All Types
All Unit|جميع الوحدات|All Unit
All Units|جميع الوحد|All Units
All Years|جميع السنوات|All years
Alumni|خريج|Alumni
Alumni Center|مركز الخريجين|Alumni Center
Alumni works|أعمال الخريجين|Alumni works
An error encountered during importing the form|حدث خطأ أثناء عملية استيراد النموذج|An error encountered during importing the form
An error encountered during revert the form|حدث خطأ أثناء عملية استرجاع الملف|An error encountered during revert the form
Analysis|التحليلات|Analysis
analysis has Entered|تحليل تم إدخاله|analysis has Entered
and above|و أعلى|and above
and The Min value is 0|وأقل قيمة هي 0|and The Min value is 0
and the total of all rates must not exceed 100|ومجموع جميع النسب لا يتجاوز 100|and the total of all rates must not exceed 100
Annual Overall|السنوي بشكل عام|Annual Overall
Annual Overall Administrative Work Contribution Performance|أداء التعاون في الاشراف على العمل الكلي السنوي|Annual Overall Administrative Work Contribution Performance
Annual Overall Research Contributions Performance|أداء التعاون البحثي العام السنوي|Annual Overall Research Contributions Performance
Annual Overall Societal Responsibility Performance|أداء التعاون الاشتراكي الكلي السنوي|Annual Overall Societal Responsibility Performance
Another Factor|عامل آخر|Another Factor
Apply|تطبيق|Apply
Arabic|العربية|العربية
Are you sure ?|هل أنت متأكد ؟|Are you sure ?
Are you sure you want to analyze this KPI.|هل أنت متأكد أنك تريد تحليل هذا المؤشر|Are you sure you want to analyze this KPI.
Are you sure you want to apply changes to the form?|هل أنت متأكد من حفظ التعديلات على النموذج ؟|Are you sure you want to apply changes to the form?
Assessed Students|الطللاب المقيّمين|Assessed Students
Assessment Component|محتوى التقييم|Assessment Component
Assessment Components|محتويات التقييم|Assessment Components
Assessment Loop|دائرة التقييم|Assessment Loop
Assessment Loop Type|نوع دائرة التقييم|Assessment Loop Type
Assessment Method|طريقة التقييم|Assessment Method
Assessment Method Instance|نموذج طريقة التقييم|Assessment Method Instance
Assessment Methods|طرق التقييم|Assessment Methods
Assessment Methods Dashboard|لوحة القيادة لطرق التقييم|Assessment Methods Dashboard
Assessment Methods Defined|طرق التقييم المحددة|Assessment Methods Defined
Assessment methods defined in|طرق التقييم المحددة ب|Assessment methods defined in
Assessor|مقيم|Assessor
Assigned Date|التاريخ المحدد|Assigned Date
Assigned From|النموذج المحدد|Assigned From
Assigned To|مخصصة ل|Assigned To
Assignment & Exams Management|إدارة الوظائف والإختبارات|Assignment & Exams Management
Assignment format|تصميم الوظيفة|Assignment format
Assignment Title|عنوان الوظيفة|Assignment Title
Assignment/Exam Information|معلومات الاختبارات / الوظائف|Assignment/Exam Information
Assignments|الوظائف|Assignments
Assignments, Exams and Quizzes information|بيانات الوظائف، الإختبارات والاختبارات القصيرة|Assignments, Exams and Quizzes information
Attachment|المرفق|Attachment
Attendance|الحضور|Attendance
Attendance Policies|سياسات الحضور|Attendance Policies
Author|المؤلف|Author
Author Rank|رتبة المؤلف|Author Rank
Author Type|نوع المؤلف|Author Type
authorization Error|خطأ في التفويض|authorization Error
Authors|اسم المرلف|Authors
Authors Count|عدد المؤلفين|Authors Count
Authorship Contribution|المساهمة في التأليف|Authorship Contribution
Available Support service|خدمة الدعم المتوفرة|Available Support service
Available support services|خدمات الدعم المتوقرة|Available support services
Available support services for course|خدمات الدعم المتوفرة للمادة الدراسية|Available support services for course
Average|المعدل|Average
Average contribution|معدل المساهمة|Average contribution
Average Evaluation|معدل التقييم|Average Evaluation
Average Initiative|معدل المبادرات|Average Initiative
Average participation|معدل المشاركة|Average participation
Average Performance|معدل الأداء|Average Performance
Avg. Overall|متوسط القيم بشكل عام|Avg. Overall
Avg. Peer Assessed Score|معدل نقاط التقييم للنظير|Avg. Peer Assessed Score
Avg. Personal Assessed Score|معدل نقاط التقييم الشخصي|Avg. Personal Assessed Score
Avg. Supervisor Assessed Score|معدل نقاط التقييم للمشرف|Avg. Supervisor Assessed Score
Award|جائزة|Award
Award Title|اسم الجائزة|Award Title
Awards|الجوائز|Awards
Back|رجوع|Back
Backup|نسخة احتياطية|Backup
Backup Type|نوع النسخة الاحتياطية|Backup Type
Backups|النسخة الاحتياطية|Backups
Balanced Scorecard|بطاقة الأهداف المتوازنة|Balanced Scorecard
Band Performance|أداء الفرقة|Band Performance
Band Performance Legend|المسميات التوضيحية لأداء الفرق|Band Performance Legend
Band Performance Legend for Authorship Contribution|المسميات التوضيحية لأداء الفرقة والمتعلقة بالتعاون على التأليف|Band Performance Legend for Authorship Contribution
Band Performance Legend for Paper Status|المسمسيات التوضيحية ﻷداء الفرق لحالة الورق|Band Performance Legend for Paper Status
Basic Foundation|الركيزة الأساسية|Basic Foundation
Begin by searching for a faculty member.|البداية من خلال البحث عن عضو الهيئة التدريسية|Begin by searching for a faculty member.
Begin by searching for a student.|البداية بالبحث عن طالب|Begin by searching for a student.
Below Average|أقل من المتوسط|Below Average
Benchmarks|المؤشرات|Benchmarks
Birth Date|تاريخ الميلاد|Birth Date
Body|الموضوع|Body
Book|الكتاب|Book
Book Title|اسم الكتاب|Book Title
Books|الكتب|Books
Both|كلاهما|Both
Browse|استعراض|Browse
Budget|الميزانية|Budget
Build|بناء|Build
Building Size|حجم المبنى|Building Size
by|بواسطة|by
Campus|فرع الجامعة|Campus
Campuses|أفرع الجامعة|Campuses
Can Edit|يمكن تعديله|Can Edit
Can not be changed in edit mode|لا يمكن التغيير في وضع التعديل|Can not be changed in edit mode
Cancel|إلغاء|Cancel
Cancel Copy|إلغاء النسخ|Cancel Copy
Cancel Move|إلغاء النقل|Cancel Move
Cannot remove the selected Role because it has a users with that role|لا يمكن حذف المسمى الوظيفي لوجود مستخدمين بهذا المسمى|Can't remove the selected Role because it has a users with that role
Career Opening|الافتتاح الوظيفي|Career Opening
Catalogue information|معلومات الفهرس|Catalogue information
Category|فئة|Category
Category Name|اسم الفئة|Category Name
Category Settings|إعدادات الفئة|Category Settings
Cell Phone|رقم الهاتف|Cell Phone
Change|تغيير|Change
Change Image|تغيير الصورة|Change Image
Change Password|تغيير كلمة السر|Change Password
Check All|تحديد الكل|Check All
Check Read|تحديد المقروء|Check Read
Check Starred|تحديد المميزة بنجمة|Check Starred
Check Unread|تحديد غير المقروء|Check Unread
Check Unstarred|تحديد غير المميزة بنجمة|Check Unstared
Check Your Email|تحقق من البريد الإلكتروني الخاص بك|Check Your Email
Child Goals of|أهداف الطفل|Child Goals of
Child Objectives of|غايات الطفل|Child Objectives of
Choice|الخيارات|Choice
Choose file...|اختر ملف...|Choose file...
Choose Question Type|اختر نوع السؤال|Choose Question Type
Choose Unit Head|اختر رئيس الوحدة|Choose Unit Head
Cited Paper in ISI Journals|ورقة الاستشهاد في مجلات ISI|Cited Paper in ISI Journals
City|المدينة|City
Class participation|المشاركة في الحصة|Class participation
Class Participation Policies|سياسات المشاركة في الحصة|Class Participation Policies
Classroom location|موقع الغرفة الصفية|Classroom location
Clear|إزالة|Clear
Click link to download|أنقر على الرابط للتحميل|Click link to download
CLO Result|نتائج مخرجات التعلم للمادة الدراسية|CLO Result
Close|إغلاق|Close
Code|الرمز|Code
College|الكلية|College
College Benchmark|مؤشر الكلية|College Benchmark
College Defined|كلية معرًفة|College Defined
College Goals|أهداف الكلية|College Goals
College Keyword |الكلمة المفتاحية للكلية|College Keyword
College Mission|رؤية الكلية|College Mission
College Mission Keyword|الكلمة المفتاحية لرؤية الكلية|College Mission Keyword
College Mission Keywords|الكلمات المفتاحية لرؤية الكلية|College Mission Keywords
college mission Keywords to be displayed.|الكلمة المفتاحية للكلية ليتم عرضها|college mission Keywords to be displayed.
college mission to be displayed.|مهمة الكلية ليتم عرضها|college mission to be displayed.
College Objectives|غاية الكلية|College Objectives
College performance|أداء الكلية|college performance
College Program Data|بيانات برامج الكلية|College Program Data
College Report|تقرير الكلية|College Report
Colleges|الكليات|Colleges
Colleges Scores|نتائج الكلية|Colleges Scores
Color|اللون|Color
Color is Required|اللون مطلوب|Color is Required
Comment|تعليق|Comment
Comment/Essay Box|مقال\تعليق|Comment/Essay Box
Comments|التعليقات|Comments
Committee|لجنة|Committee
Committees|اللجان|Committees
Competencies Dimension|بعد الكفاءات|Competencies Dimension
Complaint|شكوى|Complaint
Complaints|الشكاوي|Complaints
Completed|منتهي|Completed
Completing|الانتهاء|Completing
Completion Count|عدد الشكاوي|Completion Count
Completion Rate|نسبة الشكاوي|Completion Rate
Completion Rate Report|تقرير نسبة الكشاوي|Completion Rate Report
Compliant|متوافق|Compliant
Component|محتوى|Component
Compose|إنشاء|Compose
Computer Documentation|وثائق الحاسوب|Computer Documentation
Conference|مؤتمر|Conference
Conference Count|عدد المؤتمرات|Conference Count
Conference Name|اسم المؤتمر|Conference Name
Conferences|المؤتمر|Conferences
Confirm Password|تأكيد كلمة السر|Confirm Password
Confirm Password are not Match with Now|تأكيد كلمة السر غير متطابق مع الحالي|Confirm Password are not Match with Now
Construction Technique|تقنية البناء|Construction Technique
Contact Email|بريد التواصل الإلكتروني|Contact Email
Contact info|بيانات التواصل|Contact info
Content|المحتوى|Content
Contract Attachment|العقد المرفق|Contract Attachment
Contract Date|تاريخ العقد|Contract Date
Contract Type|نوع العقد|Contract Type
conversations have been marked as important.|تم وضع علامة "مهمة" على المحادثة|conversations have been marked as "important".
conversations have been marked as not important.|تم وضع علامة "غير مهمة" على المحادثة|conversations have been marked as "not important".
conversations have been marked as unread.|تم وضع علامة "غير مقروء" على المحادثة|conversations have been marked as "unread".
conversations have been moved to the Inbox.|تم نقل المحادثة إلى الصنوق الوارد|conversations have been moved to the Inbox.
conversations have been moved to the Trash.|تم نقل المحادثة إلى سلة المهملات|conversations have been moved to the Trash.
Coordinators|منسق|Coordinators
Copy|نسخ|Copy
Copy an Existing Survey|النسخ من استبيان موجود مسبقاً|Copy an Existing Survey
Core Component|المحتوى الأساسي|Core Component
Count|العدد|Count
Country|البلد|Country
Course|المادة الدراسية|Course
Course Assessment Matrix|مصفوفة تقييم المواد الدراسية|Course Assessment Matrix
Course Assessment Method|طرق التقييم للمادة الدراسية|Course Assessment Method
Course Assessment Rubric|تقييم موضوع للمواد الدراسية|Course Assessment Rubric
Course calender|تقويم المادة الدراسية|Course calender
Course Code|رمز المادة الدراسية|Course Code
Course Completion Rate|نسبة انجاز المادة الدراسية|Course Completion Rate
Course description and education objectives|وصف المادة الدراسية والغاية التعليمية|Course description and education objectives
Course Evaluation|تقييم المادة الدراسية|Course Evaluation
Course Grades|علامات المادة الدراسية|Course Grades
Course Learning Domain|مجال التعلم للمادة الدراسية|Course Learning Domain
Course Learning Outcome|مخرجات التعلم للمادة الدراسية|Course Learning Outcome
Course Learning Outcome Mapped to Survey|مخرج التعلم للمادة الدراسية المرتبط باستبيان|Course Learning Outcome Mapped to Survey
Course Learning Outcomes|مخرجات التعلم للمادة الدراسية|Course Learning Outcomes
Course Management|إدارة المواد الدراسية|Course Management
Course Management has not been created!|لم يتم إنشاء المادة الدراسية|Course Management has not been created!
Course Manual|دليل المادة الدراسية|Course Manual
Course Name|اسم المادة الدراسية|Course Name
Course No|رقم المادة الدراسية|Course No
Course not found|لم يتم العثور على المادة الدراسية|Course not found
Course Number|رقم المادة الدراسية|Course Number
Course policies|سياسة المادة الدراسية|Course policies
Course Portfolio|ملف المادة الدراسية|Course Portfolio
Course Report Cover|غلاف تقارير المواد الدراسية|Course Report Cover
Course Report. CR Score|تقارير المادة الدراسية و نقاط CR|Course Report. CR Score
Course Section|شعبة المادة الدراسية|Course Section
Course Sections|شعب المادة الدراسية|Course Sections
course sections to be displayed|شعب المادة الدراسية ليتم عرضها|course sections to be displayed
Course Specification Cover|غلاف خصائص المواد الدراسية|Course Specification Cover
Course Specifications and Reports|مواصفات وتقارير المادة الدراسية|Course Specifications and Reports
Course Specs. CS Score|خصائص المادة الدراسية ونقاط CS|Course Specs. CS Score
Course Status|حالة المادة الدراسية|Course Status
Course Statuses|حالات المادة الدراسية|Course Statuses
Course Students|طلاب المادة الدراسية|Course Students
Course Title|اسم المادة الدراسية|Course Title
Courses|المواد الدراسية|Courses
Courses Accreditation|اعتماد المواد الدراسية|Courses Accreditation
cr.|CR|CR
Create|إنشاء|Create
Create Role|إنشاء مسمى وظيفي|Create Role
Created|تم الإنشاء|Created
Created At|أُنشئت في|Created At
Creative Work|العمل الإبداعي|Creative Work
Creative Works|الأعمال الإبداعية|Creative Works
Credentials|الصلاحيات|Credentials
Credit Hours|الساعات المعتمدة|Credit hours
Credit Hours is Required|عدد الساعات المعتمدة مطلوب|Credit Hours is Required
Criteria|مقياس|Criteria
Criterias|المقاييس|Sub-Standard
CS and CR completed for 2 years|تم الانتهاء من CS و CR لمدة سنتين|CS and CR completed for 2 years
CS completed and CR started|تم الانتهاء من CS وبدء العمل على CR|CS completed and CR started
CS completed but No CR|تم الانتهاء من CS ولم ينته العمل على CR|CS completed but No CR
CS/CR Mean Score| متوسط نقاط CS/CR|CS/CR Mean Score
Current|الحالي|Current
Current Deadline|الموعد النهائي الحالي|Current Deadline
Current Year|السنة الحالية|Current Year
Curriculum|منهاج دراسي|Curriculum
Curriculum Mapping|خريطة المناهج|Curriculum Mapping
Custom Component|محتوى مخصص|Custom Component
Custom Items|عناصر مخصصة|Custom Items
Custom Title|عنوان مخصص|Custom Title
CV|السيرة الذاتية|CV
CV & Report|السيرة الذاتية والتقرير|CV & Report
CV Attachment|السيرة الذاتية المرفقة|CV Attachment
CV Text|نص السيرة الذاتية|CV Text
Dashboard|لوحة القيادة|Dashboard
Dashboards|لوحات القيادة|Dashboards
Data|البيانات|Data
Data Capture|التقاط البيانات|Data Capture
Data to be displayed.|بيانات ليتم عرضها|Data to be displayed.
Date|التاريخ|Date
Date Accredited|تاريخ الاعتماد|Date Accredited
Date format is correct|تنسيق التاريخ صحيح|Date format is correct
Date From|من تاريخ|Date From
Date period|فترة التاريخ|Date period
Date Range are Conflict with another deadline|مدى التاريخ يتعارض مع موعد نهائي آخر|Date Range are Conflict with another deadline
Date Range is Wrong|المدى بين التواريخ خاطئ|Date Range is Wrong
Date Submitted|تاريخ التقديم|Date Submitted
Date To|إلى تاريخ|Date To
Date Visited|تاريخ الزيارة|Date Visited
Day|يوم|Day
Days|أيام|Days
Deadline|الموعد النهائي|Deadline
Deadline successfully Saved|تم حفظ الموعد النهائي بنجاح|Deadline successfully Saved
Dean|عميد|Dean
Deanship|عمادة|Deanship
Deanship Id|رقم العمادة|Deanship Id
Debugging Tips|نصائح التصحيح|Debugging Tips
Degree|الدرجة العلمية|Degree
Degrees|الدرجات العلمية|Degrees
Delete|حذف|Delete
Deleted Successfully|تم الحذف بنجاح|Deleted Successfully
Demographics|معلومات عامة|Demographics
Department|قسم|Department
Department Name|اسم القسم|Department Name
Department performance|أداء القسم|Department performance
Department Report|تقرير القسم|Department Report
Departments|الأقسام|Departments
Description|الوصف|Description
Design|التصميم|Design
Detailed Report|التقرير التفصيلي|Detailed Report
Details|التفاصيل|Details
Developmental Planning|التخطيط التنموي|Developmental Planning
Display|عرض|Display
Dissemination Type|نوع النشر|Dissemination Type
Documentation|توثيق|Documentation
Documents|الوثائق|Documents
Documents to Review|وثائق للمراجعة|Documents to Review
Domain|المجال|Domain
Done|منتهي|Done
Download|تحميل|Download
Download As|تحميل ك|Download As
Download Attachment|تنزيل المرفق|Download Attachment
Due Date|موعد التسليم|Due Date
Due Date Exceeded|موعد التسليم منتهي|Due Date Exceeded
Due Date Not Assigned|موعد التسليم غير محدد|Due Date Not Assigned
Due Date not chosen yet|لم يتم تحديد موعد التسليم|Due Date not chosen yet
Due Date Passed|تجاوز موعد التسليم|Due Date Passed
Due in|ينتهي في|Due in
Due Today|ينتهي اليوم|Due Today
Duration|المدة الزمنية|Duration
Edit|تعديل|Edit
Edit & Resend|تعديل و إعادة إرسال|Edit & Resend
Edition|الطبعة|Edition
Elective|اختياري|Elective
Eligibility minimum requirement was added successfully|"Eligibility minimum requirement " تم إضافته بنجاح|Eligibility minimum requirement was added successfully
email|البريد الإلكتروني|Email
Email Already Exists|البريد الإلكتروني موجود مسبقا|Email Already Exists
Email is wrong|البريد الإلكتروني خاطئ|Email is wrong
Email me when|ارسال بريد إلكتروني في الحالات|Email me when
Email Notifications|اشعارات البريد الإلكتروني|Email Notifications
Emergent Proficiency|الكفاءة الناشئة|Emergent Proficiency
Employer|صاحب العمل|Employer
Employers|أصحاب العمل|Employers
End|الإنتهاء|End
End date|تاريخ الإنتهاء|End Date
End Date must be on or after|تاريخ الانتهاء يجب أن يكون بعد|End Date must be on or after
End Date must be on or before|تاريخ الانتهاء  يجب أن يكون قبل|End Date must be on or before
End Date should be after Start Date|تاريخ الانتهاء سجي أن يكون بعد تاريخ البدء|End Date should be after Start Date
English|English|English
Enrolled|المقيدين|Enrolled
Enrolled Count|عدد المقيدين|Enrolled Count
Enter your Email|أدخل البريد الإلكرتوني|Enter your Email
Epartments|وثائق المعدات|Epartments
Equipment Documentation|وثائق المعدات|Equipment Documentation
Error : Please try Again|خطأ: يرجى المحاولة مرة أخرى|Error : Please try Again
Error: Already Submit the Survey|خطأ : تم تسليم هذا الاستبيان مسبقاً|Error: Already Submit the Survey
Error: Due Date has Passed|خطأ: تم تجاوز الموعد النهائي للتسليم|Error: Due Date has Passed
Error: Eligibility minimum requirement already added|خطأ :"Eligibility minimum requirement " تم إضافته مسبقا|Error: Eligibility minimum requirement already added
Error: Invalid Email|خطأ:البريد الإلكتروني خاطىء|Error: Invalid Email
Error: Invalid Token|خطأ: رمز غير صحسح|Error: Invalid Token
Error: No System Selected, Please Select One|خطأ: لم يتم إختيار نظام , يرجى إختيار واحد|Error: No System Selected, Please Select One
Error: Permission Denied!|خطأ : تم رفض الصلاحية|Error: Permission Denied!
Error: Please add 1 or more questions to the survey before continuing.|خطأ يرجى إضافة سؤال أو أكثر على الاستبيان قبل المتابعة|Error: Please add 1 or more questions to the survey before continuing.
Error: Please make sure you are Finished all Sub-Form|خطأ: يرجى التأكد من انهاء جميع النماذج الفرعية|Error: Please make sure you are Finished all Sub-Form
Error: Please Select at least one conversation.|يرجى اختيار محاثة واحدة على الأقل|Error: Please Select at least one conversation.
Error: Please Select at least one group.|خطأ: يرجى اختيار مجموعة واحدة على الأقل|Error: Please Select at least one group.
Error: Please try again|خطأ: يرجى المحاولة مرة أخرى|Error: Please try again
Error: This field has invalid value|خطأ: هذا الحقل يحتوي على قيمة غير صحيحة|Error: This field has invalid value
Error: This field is required|خطأ: هذا الحقل مطلوب|Error: This field is required
Error: This field is required & should be a number|خطأ: هذه الحقل مطلوب ويجب أن تكون القيمة رقم|Error: This field is required & should be a number
Error: This field is required at least one parameter|خطأ : هذا الحقل مطلوب ويجب أن يحتوي على عنصر واحد على الأقل|Error: This field is required at least one parameter
Error: You are not Active|خطأ: أنت غير نشط|Error: You are not Active
Error: You Don't have Permission|خطأ: لا تملك الصلاحية|Error: You Don't have Permission
Escalation|تصعيد|Escalation
Escalation Actions|إجراءات التصعيد|Escalation Actions
Escalation Level|مستوى التصعيد|Escalation Level
Escalation Levels|مستويات التصعيد|Escalation Levels
Escalation Plans|خطط التصعيد|Escalation Plans
Evaluate as Manager|تقييم كمدير|Evaluate as Manager
Evaluate as Peer|تقييم كنظير|Evaluate as Peer
Evaluation|التقييم|Evaluation
Evaluation Management|إدارة التقييم|Evaluation Management
Evaluation Overall|التقييم بشكل عام|Evaluation Overall
Evaluations|التقييم|Evaluations
Evaluator|مقيّم|Evaluator
Example evaluation help text here.|مثال على التقييم نص التعليمات هنا|Example evaluation help text here.
Exams, Assignments and Quizzes|الامتحانات، الوظائف والاختبارات|Exams, Assignments and Quizzes
Excellent Performance|أداء ممتاز|Excellent Performance
Exclude Not Started|استثناء "لم يبدأ به"|Exclude Not Started
Existing Survey|استبيان موجود مسبقاً|Existing Survey
Experience|الخبرة|Experience
Experiences|الخبرات|Experiences
Expiration|تاريخ الإنتهاء|Expiration
Export|تصدير|Export
External|خارجي|External
External Benchmark|مؤشر خارجي|External Benchmark
External Benchmarks|المؤشرات الخارجية|External Benchmarks
Facebook|فيسبوك|Facebook
Factor|عامل|Factor
Factor And Statement|العوامل والبيانات|Factor And Statement
Factors|العوامل|Factors
Factors And Statements|العوامل والبيانات|Factors And Statements
Faculty| هيئة التدريس|Faculty
Faculty Actions|إجراءات عضو الهيئة التدريسية|Faculty Actions
Faculty are Founded|العثور على  عضو الهيئة التدريسية|Faculty are Founded
Faculty Forms|نماذج عضو الهيئة التدريسية|Faculty Forms
Faculty ID|رقم عضو الهيئة التدريسية|Faculty ID
Faculty Name|اسم عضو الهيئة التدريسية|Faculty Name
Faculty Performance|أداء عضو الهيئة التدريسية|Faculty Performance
Faculty Performance Deadline|الموعد النهائي |Deadline
Faculty Performance Evaluation|تقييم أداء عضو الهيئة التدريسية|Faculty Performance Evaluation
Faculty Performance Form Settings|إعدادات نموذج أداء عضو الهيئة التدريسية|Faculty Performance Form Settings
Faculty Performance From|نموذج أداء عضو الهيئة التدريسية|faculty performance from
Faculty Performance Report|تقرير أداء عضو الهيئة التدريسية|Faculty Performance Report
Faculty Performance Settings|إعدادات أداء عضو الهيئة التدريسية|Faculty Performance Settings
Faculty Performance Type|نوع أداء عضو الهيئة التدريسية|Faculty Performance Type
Faculty Performance Type Settings|إعدادات نوع أداء عضو الهيئة التدريسية|Faculty Performance Type Settings
Faculty Portfolio|ملف أعضاء الهيئة التدريس|Faculty Portfolio
Faculty Recommendation|توصيات عضو الهيئة التدريسية|Faculty Recommendation
Faculty Report|تقرير عضو الهيئة التدريسية|Faculty Report
Fax|الفاكس|Fax
Fax No|رقم الفاكس|Fax No
Fax Number|رقم الفاكس|Fax Number
Female Faculty Members|أعضاء الهيئة التدريسية الإناث|Female Faculty Members
Field Experience Report Cover|غلاف تقارير الخبرة الميدانية|Field Experience Report Cover
Field Experience Specification Cover|غلاف خصائص الخبرة الميدانية|Field Experience Specification Cover
field required|يرجى إدخال هذا الحقل|Field Required
Fifth Author|المؤلف الخامس|Fifth Author
File exceeds maximum allowed size.|حجم الملف يتجاوز الحد المسموح|File exceeds maximum allowed size.
File not found.|الملف غير موجود|File not found.
File Repository|مستودع الملف|File Repository
File type not allowed.|نوع الملف غير مسموح|File type not allowed.
Files Repository|مستودع الملفات|Files Repository
Filters|المرشحات|Filters
Find Members|العثور على الأعضاء|Find Members
Find Strategic Planning|البحث عن التخطيط الاستراتيجي|Find Strategic Planning
Finish|انهاء|Finish
First Name|الاسم الأول|First Name
for|ل|For
