ID,Type_AMS,Name_AMS,Name_ACC,Class_ACC
74,T19-Para,AssessmentActivityC23,responsibility_table][20][3][field_teching,Field_Experience_Specification_C
75,T19-Para,AssessmentActivityC33,responsibility_table][20][4][program_Faculty,Field_Experience_Specification_C
76,T20-Para,AssessmentActivityC14,responsibility_table][21][2][student,Field_Experience_Specification_C
77,T20-Para,AssessmentActivityC24,responsibility_table][21][3][field_teching,Field_Experience_Specification_C
78,T20-Para,AssessmentActivityC34,responsibility_table][21][4][program_Faculty,Field_Experience_Specification_C
79,T21-Para,AssessmentActivityC15,responsibility_table][22][2][student,Field_Experience_Specification_C
80,T21-Para,AssessmentActivityC25,responsibility_table][22][3][field_teching,Field_Experience_Specification_C
81,T21-Para,AssessmentActivityC35,responsibility_table][22][4][program_Faculty,Field_Experience_Specification_C
82,T22-Para,AssessmentActivityC16,responsibility_table][23][2][student,Field_Experience_Specification_C
83,T22-Para,AssessmentActivityC26,responsibility_table][23][3][field_teching,Field_Experience_Specification_C
84,T22-Para,AssessmentActivityC36,responsibility_table][23][4][program_Faculty,Field_Experience_Specification_C
85,Para,StudentAssessmentProcess,assessment,Field_Experience_Specification_C
86,Dynamic Table,FESD1Locations,location,Field_Experience_Specification_D
87,DT-Text,RequirementsforFieldSite,required_list,Field_Experience_Specification_D
88,DT-Text,SafetyStandard,safety_standard,Field_Experience_Specification_D
89,DT-Text,SpecializedCriteria,specialized_criteria,Field_Experience_Specification_D
90,Para,DecisionProcessLocations,experience_locations,Field_Experience_Specification_D
91,Dynamic Table,FESD2Staff,staff,Field_Experience_Specification_D
92,DT-Text,Qualifications,qualification,Field_Experience_Specification_D
93,DT-Text,Responsibilities,responsibilities,Field_Experience_Specification_D
94,DT-Text,TrainingRequired,training_required,Field_Experience_Specification_D
95,Para,DecisionProcessStaffandSupervisor,staff_locations,Field_Experience_Specification_D
96,Dynamic Table,FESD3Students,student,Field_Experience_Specification_D
97,DT-Text,PreRequisiteRequirement,requirement,Field_Experience_Specification_D
98,DT-Text,TestingRequirements,requirement_Testing,Field_Experience_Specification_D
99,DT-Text,SpecialTrainingRequired,training,Field_Experience_Specification_D
100,Para,DecisionProcessStudent,student_explanation,Field_Experience_Specification_D
101,Dynamic Table,FESD4SafteyRisk,risk,Field_Experience_Specification_D
102,DT-Text,InsuranceRequirements,requirement_4,Field_Experience_Specification_D
103,DT-Text,PotentialRisks,potential_risk,Field_Experience_Specification_D
104,DT-Text,SafetyPrecautionsTaken,safety,Field_Experience_Specification_D
105,DT-Text,SafetyTrainingRequirements,safety_training,Field_Experience_Specification_D
106,Para,DecisionProcessMinimizeSaftey,risk_explanation,Field_Experience_Specification_D
107,Para,ResolutionDifferencesAssessments,resolution,Field_Experience_Specification_D
108,Para,EvaluationProcessStudent,student_eval,Field_Experience_Specification_E
109,Para,RecommendationStudent,student_rec,Field_Experience_Specification_E
110,Para,EvaluationProcessStaff,staff_eval,Field_Experience_Specification_E
111,Para,RecommendationStaff,staff_rec,Field_Experience_Specification_E
112,Para,EvaluationProcessSupervisionFaculty,faculty_eval,Field_Experience_Specification_E
113,Para,RecommendationSupervisionFaculty,faculty_rec,Field_Experience_Specification_E
114,Para,EvaluationProcessOthers,others_eval,Field_Experience_Specification_E
115,Para,RecommendationOthers,others_rec,Field_Experience_Specification_E
116,Dynamic Table,FESActionsNextYear,action_plan,Field_Experience_Specification_E
117,DT-Para,Action,action_recommendation,Field_Experience_Specification_E
118,DT-Para,IntendedAction,action_points,Field_Experience_Specification_E
119,DT-Date,StartDate,start_date,Field_Experience_Specification_E
120,DT-Date,CompletionDate,completion_date,Field_Experience_Specification_E
121,DT-Text,PersonResponsible,Person,
122,Int,programid,,
