ID,Type_AMS,Name_AMS,Name_ACC,Class_ACC
90,Para,Organizationaloradministrative,administrative_difficulties,Course_Report_E
91,Para,Consequencesofanydifficulties2,student_learning,Course_Report_E
92,,,course_evaluation,Course_Report_F
93,Attach,Studentevaluationofthecourse,student_evaluation_report,Course_Report_F
94,Para,Listthemostimportantrecommendations,improvement_and_strength,Course_Report_F
95,Para,Responseofinstructororcourse,course_team,Course_Report_F
96,Para,OtherEvaluation,other_course_evaluation,Course_Report_F
97,,,other_evaluation_report,Course_Report_F
98,Para,Listthemostimportantrecommendationsnew,other_evaluation_improvement,Course_Report_F
99,Para,Responseofinstructororcoursenew,other_evaluation_course_team,Course_Report_F
100,Dynamic Table,CRT8ProgressOnActions,actions,Course_Report_G
101,DT-Para,Actionsrecommended,recommendation,Course_Report_G
102,DT-Para,ActionsTaken,action_taken,Course_Report_G
103,DT-Para,ActionResults,results,Course_Report_G
104,DT-Para,ActionAnalysis,analysis,Course_Report_G
105,Para,Listwhatactionshavebeentaken,list_of_actions,Course_Report_G
106,Dynamic Table,CRT9ActionsNextYear,action_plan_improvement,Course_Report_G
107,DT-Para,Action,recommendation_3,Course_Report_G
108,DT-Para,IntendedAction,action,Course_Report_G
109,DT-Date,StartDate,start_date,Course_Report_G
110,DT-Date,CompletionDate,completion_date,Course_Report_G
111,DT-Text,PersonResponsible,person_responsible,Course_Report_G
112,Int,collegeid,,
113,Int,Programid,,
